Origin,Destination,Refugees(and refugee-like),Total Pop
Afghanistan,Pakistan,1504912,1523363
Afghanistan,Iran (Islamic Rep. of),950000,954545
Afghanistan,Germany,27814,46837
Afghanistan,Sweden,12090,14353
Afghanistan,Austria,11906,11906
Central African Rep.,Cameroon,220702,230106
Central African Rep.,Chad,91783,108310
Central African Rep.,Dem. Rep. of the Congo,68165,68231
Central African Rep.,Congo,21695,21833
Central African Rep.,Sudan,4113,4116
Colombia,Venezuela (Bolivarian Republic of),173519,173770
Colombia,Ecuador,121317,121322
Colombia,Costa Rica,16623,16831
Colombia,Canada,16428,16702
Colombia,Panama,15551,16346
Eritrea,Ethiopia,123784,123893
Eritrea,Sudan,109196,110312
Eritrea,Israel,32668,32668
Eritrea,Switzerland,16091,22556
Eritrea,Sweden,14107,21198
Iraq,Syrian Arab Rep.,146200,152646
Iraq,Germany,41167,51851
Iraq,Iran (Islamic Rep. of),32000,32281
Iraq,Jordan,29263,45325
Iraq,Sweden,24184,26849
Somalia,Kenya,424691,427798
Somalia,Ethiopia,245097,248520
Somalia,Yemen,244204,246191
Somalia,South Africa,40133,43493
Somalia,Sweden,21189,25096