Rank,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,hist,Agricultural,Domestic,Industrial
1,Western Sahara,4.42,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2240.00,0.00,0.00,4187.00,,-,4.67,-
2,Mauritania,3.79,0.56,0.00,213103.00,68.00,0.00,0.00,15015023.00,5311185.00,193063936.00,1029178304.00,27249688.00,257697616.00,,3.76,4.03,4.19
3,Niger,3.72,0.80,0.00,0.00,0.00,1018.00,142785.00,7111591.00,410962976.00,308104448.00,563758144.00,30930076.00,344561408.00,,3.58,4.19,3.59
4,Senegal,3.65,1.00,0.00,0.00,0.00,0.00,313544768.00,35064292.00,173029264.00,957396.00,1027470272.00,0.00,661242240.00,,3.71,3.10,3.21
5,Oman,3.41,0.80,0.00,5934516.00,0.00,106059.00,60064496.00,265336880.00,62856892.00,235582000.00,542186240.00,101497696.00,157366064.00,,3.39,3.46,3.72
6,Peru,3.39,1.38,0.00,700552576.00,267940544.00,920185408.00,3133602304.00,455007456.00,2701303552.00,1674152832.00,537297408.00,3263563776.00,6703970304.00,,3.53,2.75,3.20
7,Egypt,3.35,0.76,0.00,331971872.00,29458004.00,2703615.00,678048256.00,560444480.00,2022756608.00,44208959488.00,4063433472.00,188638160.00,8666412032.00,,3.33,3.42,3.42
8,Namibia,3.30,0.83,0.00,124506.00,12483.00,48276.00,56290.00,62486824.00,72965744.00,74841352.00,79734160.00,6108686.00,43386996.00,,2.93,3.81,3.77
9,Qatar,2.94,0.62,0.00,0.00,1697681.00,25737056.00,0.00,181215168.00,0.00,413682816.00,38148560.00,7093097.00,0.00,,2.66,3.19,2.98
10,Sudan,2.94,0.78,0.00,0.00,145747.00,676655.00,2211904000.00,4908194304.00,5558996480.00,11672890368.00,1161804800.00,70261200.00,2521998336.00,,2.88,3.20,3.62
11,United Arab Emirates,2.92,1.31,0.00,578003200.00,260930752.00,179802752.00,263210592.00,209992192.00,481507040.00,1274178816.00,1140986368.00,1170531968.00,6894871.00,,3.22,2.18,2.67
12,Mali,2.90,1.09,0.00,661452.00,218440560.00,319427936.00,233234336.00,1608446208.00,240689616.00,174769744.00,505374240.00,1551335936.00,49723040.00,,3.12,2.48,2.22
13,Armenia,2.83,0.33,0.00,0.00,0.00,425753.00,0.00,707530816.00,171300688.00,1570004096.00,0.00,0.00,0.00,,2.83,2.82,2.88
14,Jordan,2.80,0.34,0.00,0.00,0.00,0.00,7045952.00,284204.00,1011965440.00,107286304.00,0.00,53435108.00,1428509.00,,2.86,2.69,2.73
15,Libya,2.77,1.25,0.00,150249760.00,0.00,33140640.00,1959925248.00,956159872.00,1389480448.00,130112960.00,237400512.00,17548.00,1270322560.00,,2.81,2.50,2.81
16,Eritrea,2.73,0.83,0.00,3470655.00,19977950.00,54388732.00,31953492.00,4065217.00,124379400.00,293641824.00,586044.00,0.00,0.00,,2.71,2.91,2.17
17,Botswana,2.70,0.47,0.00,0.00,0.00,0.00,22637984.00,5882220.00,155179424.00,27405512.00,12701358.00,1983594.00,1172510.00,,2.40,2.86,2.77
18,Ecuador,2.64,1.10,0.00,8441426.00,1760328832.00,3658831360.00,544287040.00,623955456.00,1692477312.00,1088202880.00,6635730432.00,845989376.00,0.00,,2.70,2.40,2.06
19,Turkmenistan,2.62,0.58,0.00,42067168.00,28285786.00,116080704.00,5035060224.00,4582809600.00,9152154624.00,927366464.00,4172387840.00,0.00,0.00,,2.64,2.40,2.17
20,Iran,2.57,0.52,0.00,60130152.00,193730928.00,2596559360.00,6520094720.00,30129852416.00,29415876608.00,18957328384.00,1017153280.00,586519680.00,0.00,,2.58,2.53,2.53
21,Uzbekistan,2.57,0.32,0.00,0.00,0.00,4166051.00,6418867200.00,7768025600.00,45815586816.00,11551300.00,1991863808.00,0.00,0.00,,2.56,2.57,2.64
22,Somalia,2.56,0.66,0.00,17840278.00,153024.00,142438256.00,195536464.00,341966080.00,274158112.00,883124224.00,0.00,0.00,0.00,,2.57,2.00,1.63
23,Chad,2.54,0.93,0.00,0.00,0.00,18643212.00,228263712.00,37929668.00,49812760.00,218976960.00,32469414.00,4361809.00,24558844.00,,2.60,2.16,2.72
24,Afghanistan,2.48,0.49,0.00,0.00,0.00,437920416.00,7652869632.00,4847488512.00,16856516608.00,1613691264.00,1225130240.00,0.00,0.00,,2.48,2.29,2.40
25,Pakistan,2.48,0.47,0.00,236487552.00,0.00,569913344.00,20919279616.00,78614020096.00,63376756736.00,14911048704.00,24.00,4383706112.00,0.00,,2.48,2.39,2.40
26,Finland,2.46,0.76,0.00,17274570.00,95002512.00,10734357.00,424448192.00,150921264.00,1006207232.00,187079200.00,85778368.00,42491660.00,0.00,,2.33,2.32,2.51
27,Tajikistan,2.45,0.21,0.00,0.00,0.00,0.00,181711680.00,5477458944.00,7056955904.00,0.00,0.00,0.00,0.00,,2.44,2.49,2.58
28,Kazakhstan,2.43,0.54,0.00,134317728.00,624452672.00,2060690560.00,1937104128.00,12307910656.00,16246602752.00,1430824960.00,328157376.00,66375008.00,19041546.00,,2.48,2.27,2.24
29,Syria,2.37,0.50,0.00,121976480.00,0.00,677825088.00,4493064192.00,3395466752.00,8089140224.00,303100352.00,683537920.00,0.00,0.00,,2.38,2.31,2.30
30,Kyrgyzstan,2.32,0.24,0.00,0.00,0.00,0.00,1211871488.00,5823776768.00,2980843264.00,0.00,0.00,0.00,0.00,,2.31,2.41,2.37
31,Lesotho,2.32,0.02,0.00,0.00,0.00,0.00,240991.00,93961104.00,0.00,0.00,0.00,0.00,0.00,,2.32,2.32,2.32
32,Czech Republic,2.27,0.17,0.00,0.00,0.00,0.00,230619856.00,1816192256.00,0.00,0.00,0.00,0.00,0.00,,2.20,2.26,2.28
33,Algeria,2.26,0.94,0.00,10149634.00,175622960.00,963291072.00,2215113984.00,2337408768.00,102213872.00,933202816.00,127980720.00,4146516.00,417386560.00,,2.28,2.05,2.47
34,Somaliland,2.26,0.47,0.00,872587.00,359729.00,131860.00,378639968.00,101734168.00,248876320.00,0.00,0.00,0.00,0.00,,2.26,1.60,2.02
35,Morocco,2.14,0.64,0.00,501090688.00,221748176.00,833602368.00,3809867520.00,2086609664.00,6110202368.00,405576064.00,66948108.00,0.00,0.00,,2.17,2.01,1.91
36,Saudi Arabia,2.12,0.98,0.00,1288660096.00,804637632.00,3094284032.00,9954300928.00,10899350528.00,1975251456.00,455444544.00,377224672.00,1044209984.00,1863082240.00,,2.06,2.55,2.56
37,Iraq,2.11,0.48,0.00,0.00,0.00,0.00,48706240512.00,2245852672.00,18664415232.00,648184064.00,0.00,0.00,0.00,,2.07,2.28,2.28
38,Chile,2.11,1.21,0.00,77560000.00,2925931520.00,2795720192.00,953833280.00,1453744768.00,1989958784.00,111370848.00,819479488.00,243201952.00,952721152.00,,1.84,2.38,2.56
39,Gambia,2.11,0.05,0.00,0.00,0.00,0.00,743173.00,123900112.00,852728.00,0.00,0.00,0.00,0.00,,2.09,2.12,2.10
40,Georgia,2.10,0.34,0.00,9812042.00,780005.00,94640664.00,492803424.00,1360611968.00,0.00,0.00,0.00,0.00,0.00,,2.17,2.01,2.06
41,Palestine,2.10,0.53,0.00,0.00,0.00,78601112.00,126310664.00,56098264.00,219713984.00,0.00,0.00,0.00,0.00,,2.15,2.03,2.01
42,Poland,2.06,0.26,0.00,35052024.00,0.00,373433152.00,2048840576.00,9505513472.00,32833240.00,0.00,0.00,0.00,0.00,,2.03,2.07,2.06
43,Slovakia,2.06,0.08,0.00,0.00,0.00,0.00,36580544.00,966810240.00,0.00,0.00,0.00,0.00,0.00,,2.06,2.07,2.05
44,Hungary,2.06,0.13,0.00,0.00,0.00,0.00,1220758144.00,4763300352.00,46018184.00,0.00,0.00,0.00,0.00,,2.09,2.05,2.05
45,Zimbabwe,2.05,0.32,0.00,0.00,0.00,144889856.00,732040576.00,1960943488.00,413178688.00,12978013.00,0.00,0.00,0.00,,1.99,2.19,2.15
46,Israel,2.04,0.52,0.00,0.00,0.00,134143128.00,1115914752.00,621605888.00,617348224.00,21708876.00,21731152.00,0.00,0.00,,2.09,1.91,2.15
47,Romania,2.02,0.36,0.00,20379928.00,0.00,161490688.00,2465560320.00,3004741632.00,1186532352.00,0.00,0.00,0.00,0.00,,1.88,2.10,2.04
48,Russia,2.02,0.50,0.00,1069177216.00,414004320.00,8120463360.00,25972217856.00,32288292864.00,9732131840.00,2248304384.00,279150144.00,15763857.00,27324124.00,,1.77,2.00,2.08
49,Nigeria,1.99,1.25,0.00,0.00,3355062784.00,4094110208.00,334267648.00,629966400.00,2550958848.00,540865920.00,328077824.00,0.00,1153963264.00,,2.72,1.76,1.23
50,Belarus,1.98,0.20,0.00,0.00,0.00,0.00,3040692224.00,1863136640.00,0.00,0.00,0.00,0.00,0.00,,1.99,1.99,1.97
51,Bolivia,1.97,1.01,0.00,0.00,603924096.00,257937136.00,596482304.00,870902336.00,228798.00,1267714.00,261855232.00,33068944.00,54954304.00,,2.39,1.58,1.66
52,China,1.96,0.76,0.00,7202639360.00,26543147008.00,177191000000.00,142336000000.00,92843884544.00,131741000000.00,27956019200.00,20626704384.00,159769968.00,200531888.00,,1.99,1.84,1.95
53,Kuwait,1.95,0.59,0.00,69164912.00,0.00,4528859.00,655213120.00,252189312.00,169220400.00,0.00,0.00,0.00,0.00,,2.09,1.78,2.12
54,Germany,1.90,0.30,0.00,252372304.00,4671636.00,1884910464.00,23367514112.00,9728225280.00,2774309632.00,0.00,0.00,0.00,0.00,,1.90,1.89,1.90
55,Belgium,1.90,0.28,0.00,14641952.00,0.00,240712736.00,2661500160.00,3930347008.00,0.00,0.00,0.00,0.00,0.00,,1.88,1.94,1.89
56,Tunisia,1.88,0.58,0.00,177556896.00,36391472.00,647383168.00,1089933056.00,1534123520.00,130608720.00,4036912.00,0.00,0.00,0.00,,1.89,1.82,1.86
57,South Sudan,1.85,0.46,0.00,0.00,129500.00,153827248.00,203705664.00,115621832.00,84261784.00,0.00,0.00,0.00,0.00,,2.35,1.64,1.84
58,Zambia,1.81,0.37,0.00,0.00,1014.00,768988352.00,796993664.00,1014232064.00,2560660.00,0.00,0.00,0.00,0.00,,1.85,1.74,1.71
59,Lithuania,1.80,0.20,0.00,0.00,0.00,396785280.00,2053630336.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.79,1.81,1.80
60,Latvia,1.80,0.30,0.00,0.00,763789.00,127180056.00,236952672.00,55762064.00,0.00,0.00,0.00,0.00,0.00,,1.79,1.81,1.80
61,Republic of Serbia,1.80,0.31,0.00,0.00,0.00,968821952.00,1730381056.00,912377344.00,0.00,0.00,0.00,0.00,0.00,,1.88,1.80,1.80
62,Angola,1.79,0.57,0.00,11310614.00,75993304.00,337960448.00,809947392.00,295509248.00,23853860.00,70070616.00,21358712.00,0.00,3866160.00,,1.80,1.71,1.85
63,Rwanda,1.78,0.08,0.00,0.00,0.00,0.00,247824240.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.80,1.75,1.77
64,Andorra,1.76,0.04,0.00,0.00,0.00,0.00,55057216.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.77,1.76,1.75
65,Netherlands,1.76,0.32,0.00,27647022.00,646833600.00,621272064.00,9137801216.00,13516146.00,0.00,0.00,0.00,0.00,0.00,,1.75,1.78,1.75
66,Burkina Faso,1.75,0.49,0.00,0.00,575250.00,420558432.00,437136000.00,57356748.00,136541872.00,1599217.00,23270400.00,0.00,0.00,,1.71,1.81,1.76
67,Spain,1.74,0.59,0.00,1771060736.00,2928837120.00,2569650176.00,14745054208.00,8650603520.00,1442716416.00,0.00,0.00,0.00,0.00,,1.86,1.49,1.62
68,Yemen,1.74,0.45,0.00,33833152.00,307028608.00,1848973312.00,1614241536.00,2156505600.00,6761233.00,2450764.00,216976.00,0.00,256539.00,,1.73,1.79,1.62
69,Austria,1.74,0.22,0.00,0.00,0.00,595586944.00,2610772736.00,240375936.00,0.00,0.00,0.00,0.00,0.00,,2.03,1.73,1.73
70,Mexico,1.73,0.65,0.00,2025529728.00,6423766528.00,24813273088.00,28241043456.00,7293850112.00,7628229120.00,2959922944.00,271821760.00,633010.00,0.00,,1.74,1.75,1.66
71,Moldova,1.73,0.07,0.00,0.00,8409282.00,0.00,1862658816.00,38296948.00,0.00,0.00,0.00,0.00,0.00,,1.72,1.74,1.74
72,South Africa,1.73,0.56,0.00,879264896.00,887955648.00,3103918848.00,8619272192.00,2462057216.00,1680154880.00,100579640.00,0.00,0.00,0.00,,1.82,1.62,1.42
73,Macedonia,1.72,0.11,0.00,0.00,0.00,87173600.00,982794880.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.72,1.72,1.72
74,Switzerland,1.71,0.20,0.00,0.00,0.00,19228352.00,2257264128.00,864417088.00,0.00,0.00,0.00,0.00,0.00,,1.89,1.70,1.71
75,Norway,1.69,0.56,0.00,11266479.00,212962288.00,709475456.00,666921664.00,742004672.00,17700736.00,0.00,54583320.00,0.00,2377525.00,,1.84,1.58,1.71
76,Canada,1.67,0.63,0.00,814252544.00,336299776.00,19671377920.00,16579175424.00,5409389056.00,4188611072.00,311884992.00,792961408.00,9206336.00,37271400.00,,2.33,1.51,1.65
77,Luxembourg,1.67,0.00,0.00,0.00,0.00,0.00,150193632.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.67,1.66,1.67
78,Bulgaria,1.65,0.31,0.00,77348920.00,607634.00,2296224768.00,3771961088.00,874851.00,2095559.00,0.00,0.00,0.00,0.00,,1.57,1.59,1.68
79,Argentina,1.64,0.62,0.00,402443968.00,1951819264.00,17007057920.00,4334857216.00,5950856192.00,3420941312.00,791323200.00,33513444.00,44650224.00,3538314.00,,1.81,1.38,1.49
80,Turkey,1.63,0.68,0.00,2355684864.00,1592990336.00,15972673536.00,15918055424.00,4008643584.00,1412817536.00,617827264.00,913926400.00,143405056.00,17744054.00,,1.70,1.47,1.49
81,Azerbaijan,1.63,0.46,0.00,0.00,176561440.00,8999029760.00,244094768.00,1869121408.00,2108575.00,584967808.00,0.00,0.00,0.00,,1.60,1.67,1.70
82,India,1.62,0.72,109716.00,9971948544.00,64876896256.00,354486000000.00,190843000000.00,42572521472.00,41628442624.00,31630997504.00,14305707008.00,9875827712.00,0.00,,1.64,1.43,1.61
83,Kosovo,1.62,0.12,0.00,0.00,0.00,210787088.00,297109376.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.60,1.62,1.63
84,Kenya,1.62,0.30,0.00,19428836.00,1751897.00,729422912.00,1938348800.00,173542256.00,48604320.00,0.00,0.00,0.00,0.00,,1.65,1.53,1.64
85,Burundi,1.61,0.14,0.00,0.00,0.00,13898545.00,284454176.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.58,1.68,1.58
86,France,1.61,0.41,0.00,1118750080.00,1116433280.00,6674156032.00,20454987776.00,3043271168.00,0.00,399283872.00,0.00,0.00,0.00,,1.59,1.62,1.61
87,Swaziland,1.60,0.05,0.00,0.00,0.00,491373.00,916279168.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.60,1.60,1.63
